old	newPackage	newName	newPath
o0ii_0	clap.network	NetworkSupport_o0ii_0	clap\network\NetworkSupport_o0ii_0.java
o0ii_1	clap.gui	GuiSupport_o0ii_1	clap\gui\GuiSupport_o0ii_1.java
o0ii_2	clap.module.render	XrayModule	clap\module\render\XrayModule.java
O0io$oiI	clap.api	ApiSupport_O0io_oiI	clap\api\ApiSupport_O0io_oiI.java
O0IO	clap.config	ConfigSupport_O0IO	clap\config\ConfigSupport_O0IO.java
o0io_0	clap.config	ConfigSupport_o0io_0	clap\config\ConfigSupport_o0io_0.java
o0io_1	clap.module.combat	CriticalsModule	clap\module\combat\CriticalsModule.java
o0io_2	clap.model	DataRecord_o0io_2	clap\model\DataRecord_o0io_2.java
o0i_0	clap.model	DataRecord_o0i_0	clap\model\DataRecord_o0i_0.java
o0i_1	clap.setting	SettingContainer	clap\setting\SettingContainer.java
o0i_2	clap.module.player	GhostHandModule	clap\module\player\GhostHandModule.java
o0O$o0I	clap.support	Support_o0O_o0I	clap\support\Support_o0O_o0I.java
O0O	clap.gui.hud	HudElement	clap\gui\hud\HudElement.java
O0O0	clap.module.combat	SprintResetModule	clap\module\combat\SprintResetModule.java
o0o0_0	clap.model	EnumType_o0o0_0	clap\model\EnumType_o0o0_0.java
O0oi$Oi0I	clap.api	ApiSupport_O0oi_Oi0I	clap\api\ApiSupport_O0oi_Oi0I.java
O0OI	clap.gui.component	GuiComponent	clap\gui\component\GuiComponent.java
o0oi_0	clap.config	ConfigSupport_o0oi_0	clap\config\ConfigSupport_o0oi_0.java
o0oi_1	clap.module.render	NoDebuffModule	clap\module\render\NoDebuffModule.java
o0oi_2	clap.network	NetworkSupport_o0oi_2	clap\network\NetworkSupport_o0oi_2.java
O0oO$O0iO	clap.api	ApiSupport_O0oO_O0iO	clap\api\ApiSupport_O0oO_O0iO.java
O0OO	clap.model	EnumType_O0OO	clap\model\EnumType_O0OO.java
o0oo_0	clap.config	ConfigSupport_o0oo_0	clap\config\ConfigSupport_o0oo_0.java
o0oo_1	clap.render	RenderSupport_o0oo_1	clap\render\RenderSupport_o0oo_1.java
o0oo_2	clap.model	DataRecord_o0oo_2	clap\model\DataRecord_o0oo_2.java
o0o_0	clap.network	NetworkSupport_o0o_0	clap\network\NetworkSupport_o0o_0.java
o0o_1	clap.core	NativeEntrypointBridge	clap\core\NativeEntrypointBridge.java
o0o_2	clap.config	ConfigSupport_o0o_2	clap\config\ConfigSupport_o0o_2.java
OI0	clap.config	ConfigSupport_OI0	clap\config\ConfigSupport_OI0.java
Oi00$0oO	clap.api	ApiSupport_Oi00_0oO	clap\api\ApiSupport_Oi00_0oO.java
OI00	clap.module.render	RotationModule	clap\module\render\RotationModule.java
oi00_0	clap.config	ConfigSupport_oi00_0	clap\config\ConfigSupport_oi00_0.java
Oi0i$0o0I	clap.api	ApiSupport_Oi0i_0o0I	clap\api\ApiSupport_Oi0i_0o0I.java
OI0i$OIIi	clap.api	ApiSupport_OI0i_OIIi	clap\api\ApiSupport_OI0i_OIIi.java
OI0I	clap.module.render	CameraClipModule	clap\module\render\CameraClipModule.java
oi0i_0	clap.gui	GuiSupport_oi0i_0	clap\gui\GuiSupport_oi0i_0.java
oi0i_1	clap.model	EnumType_oi0i_1	clap\model\EnumType_oi0i_1.java
oi0i_2	clap.model	DataRecord_oi0i_2	clap\model\DataRecord_oi0i_2.java
Oi0o$00oo	clap.api	ApiSupport_Oi0o_00oo	clap\api\ApiSupport_Oi0o_00oo.java
OI0O	clap.model	EnumType_OI0O	clap\model\EnumType_OI0O.java
oi0o_0	clap.gui	GuiSupport_oi0o_0	clap\gui\GuiSupport_oi0o_0.java
oi0o_1	clap.model	DataRecord_oi0o_1	clap\model\DataRecord_oi0o_1.java
oi0o_2	clap.gui	GuiSupport_oi0o_2	clap\gui\GuiSupport_oi0o_2.java
oi0_0	clap.model	DataRecord_oi0_0	clap\model\DataRecord_oi0_0.java
oi0_1	clap.config	ConfigSupport_oi0_1	clap\config\ConfigSupport_oi0_1.java
oi0_2	clap.config	ConfigSupport_oi0_2	clap\config\ConfigSupport_oi0_2.java
OII$00oO	clap.api	ApiSupport_OII_00oO	clap\api\ApiSupport_OII_00oO.java
OIi$ClapEntrypoint	clap.api	ApiSupport_OIi_ClapEntrypoint	clap\api\ApiSupport_OIi_ClapEntrypoint.java
oII$OIOi	clap.support	Support_oII_OIOi	clap\support\Support_oII_OIOi.java
Oii$oo0	clap.support	Support_Oii_oo0	clap\support\Support_Oii_oo0.java
oII$OO0o	clap.api	ApiSupport_oII_OO0o	clap\api\ApiSupport_oII_OO0o.java
oII$Oooi	clap.support	Support_oII_Oooi	clap\support\Support_oII_Oooi.java
OII$OoOO	clap.api	ApiSupport_OII_OoOO	clap\api\ApiSupport_OII_OoOO.java
OII	clap.config	ConfigSupport_OII	clap\config\ConfigSupport_OII.java
OII0	clap.model	DataRecord_OII0	clap\model\DataRecord_OII0.java
oii0_0	clap.model	DataRecord_oii0_0	clap\model\DataRecord_oii0_0.java
oii0_1	clap.config	ConfigSupport_oii0_1	clap\config\ConfigSupport_oii0_1.java
oii0_2	clap.gui	GuiSupport_oii0_2	clap\gui\GuiSupport_oii0_2.java
OiiI$0O0o	clap.support	Support_OiiI_0O0o	clap\support\Support_OiiI_0O0o.java
OIII	clap.config	ConfigSupport_OIII	clap\config\ConfigSupport_OIII.java
